Manufacturer,Name,Heatingpower in,COP,Type,Area of application,
Vaillant,aroTHERM VWL 115 mit uniTOWER,5.1,3.6,Air-Water,Heating. Cooling and Drinkingwater,
Vaillant,aroTHERM VWL 115/2,5.1,3.6,Air-Water,Heating and Cooling,
Vaillant,aroTHERM VWL 155 mit uniTOWER,8.2,3.6,Air-Water,Heating. Cooling and Drinkingwater,
Vaillant,aroTHERM VWL 155/2,8.2,3.6,Air-Water,Heating and Cooling,
Vaillant,aroTHERM VWL 55/3,2.8,3.5,Air-Water,Heating and Cooling,
Vaillant,aroTHERM VWL 55/3 mit uniTOWER,2.8,3.5,Air-Water,Heating. Cooling and Drinkingwater,
Vaillant,aroTHERM VWL 85/3,4.6,3.8,Air-Water,Heating and Cooling,
Vaillant,aroTHERM VWL 85/3 mit uniTOWER,4.5,3.9,Air-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoCOMPACT VWF 118,11.2,5,Brine-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoCOMPACT VWF 118 mit aroCOLLECT,10.3,3.9,Air-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoCOMPACT VWF 118 mit fluoCOLLECT,12.9,5.1,Water-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoCOMPACT VWF 58,5.3,4.7,Brine-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoCOMPACT VWF 58 mit aroCOLLECT,5.7,4.2,Air-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoCOMPACT VWF 58 mit fluoCOLLECT,6.4,4.8,Water-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoCOMPACT VWF 88,8.9,5.1,Brine-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoCOMPACT VWF 88 mit aroCOLLECT,7.8,4,Air-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoCOMPACT VWF 88 mit fluoCOLLECT,10,5.2,Water-Water,Heating. Cooling and Drinkingwater,
Vaillant,flexoTHERM VWF 117/4,11.2,5,Brine-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 117/4 mit aroCOLLECT,10.3,3.9,Air-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 117/4 mit fluoCOLLECT,12.9,5.1,Water-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 157/4,14.5,4.9,Brine-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 157/4 mit aroCOLLECT,13.9,4.1,Air-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 157/4 mit fluoCOLLECT,16.8,5.4,Water-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 197/4,19.7,4.7,Brine-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 197/4 mit aroCOLLECT,17.4,3.7,Air-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 197/4 mit fluoCOLLECT,23,5.2,Water-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 57/4,5.3,4.7,Brine-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 57/4 mit aroCOLLECT,5.7,4.2,Air-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 57/4 mit fluoCOLLECT,6.4,4.8,Water-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 87/4,8.9,5.1,Brine-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 87/4 mit aroCOLLECT,7.8,4,Air-Water,Heating and Cooling,
Vaillant,flexoTHERM VWF 87/4 mit fluoCOLLECT,10,5.2,Water-Water,Heating and Cooling,
Vaillant,geoTHERM VWS 220/3,21.6,4.3,Brine-Water,Heating,
Vaillant,geoTHERM VWS 300/3,31,4.4,Brine-Water,Heating,
Vaillant,geoTHERM VWS 36/4.1 S,2.5,4,Brine-Water,Heating and Cooling,
Vaillant,geoTHERM VWS 380/3,37.8,4.3,Brine-Water,Heating,
Vaillant,geoTHERM VWS 460/3,45.7,4.5,Brine-Water,Heating,
Vaillant,VWL B 290/4,1.65,3.3,Air-Water,Drinkingwater,
Vaillant,VWL BM 290/4,1.65,3.3,Air-Water,Drinkingwater,
